,username,biography,userid,mediacount,followers,followees,is_verified
50,nmalliotakis,"Member of the U.S. House of Representatives, representing Brooklyn & Staten Island, NY-11.       https://malliotakis.house.gov",319691288,4468,25203,1489,True
51,repvirginiafoxx,Proudly serving North Carolina's 5th District in Congress.,2090890191,763,8738,116,True
52,realmarjoriegreene,"✝️ Christian
🍑 Georgia 14’s Congresswoman
♥️ Mother of 3
💼 Successful Business Woman
🇺🇸 Save America and Stop Communism",18079324919,3308,781457,69,True
53,robertfkennedyjr,RFK Jr. — Independent candidate for President of the United States. #Kennedy24,4073269728,266,1498109,600,True
54,davidavocadowolfe,"🥑Raw🥑 Living☀Foods, 🌴Superfoods🍈, Superherbs🍄, Living💦Water, Health💫Technology, and✨#TheBestDayEver!✨ ⬇️MyWorld🌳 & 📲LinkTree⬇️",196655013,2232,393570,1732,True
55,davidjharrisjr,"Husband to @feistylittlej
Father, Author, Key-Note Speaker
Podcast on iTunes, Spotify, Google Play
👇 Petition & Links",281799076,3911,1733962,829,True
56,millerfortexas,"Champion Calf Roper, 12th Commissioner of Texas Agriculture.",821014690,601,12527,0,True
57,markkaye,"🎙Host of The #MarkKayeShow
🌟TV Host on @newsmax 
🇺🇸 KAYETRIOT",4117052,4989,129053,793,True
58,lalotaforcongress,"Father, Husband, Proud American and Navy Vet. Congressman ready to serve NY-01 and the greatest nation the world has ever known. 🇺🇸 💪",51738543148,264,1571,603,False
59,senrogermarshall,"Husband, father, grandfather, doctor, and U.S. Senator for Kansas.",5701519829,1066,9991,161,True
60,senbillcassidy,"Treated uninsured patients as a doctor in Louisiana’s charity hospital system, now serving the people of my state in the U.S. Senate. Proud #LSU grad!",49865683505,317,2221,178,True
61,senronjohnson,"Official Instagram account for United States Senator Ron Johnson, proudly serving the great state of Wisconsin.",1392153885,989,50652,213,True
62,repjayapal,"Activist, organizer, mom. Proudly serving the beautiful people of Washington's 7th Congressional District!",4369564629,2685,120490,277,True
63,alfranken,"Husband, Dad, Granddad, Democrat, Minnesotan, Author, Human Cannonball, Comedian, Head of Midwest Values PAC, Host of The Al Franken Podcast",1128326371,428,188356,1575,True
64,derrickvanorden,"Personal page for the Congressman representing Wisconsin’s 3rd District. Proud Husband, Father, Grandfather, and American. Cheese Lover.",15163865231,345,10894,43,False
65,alexepsteinenergy,"Philosopher and energy expert
Author: Fossil Future, The Moral Case for Fossil Fuels",51706953744,402,11901,62,True
66,magaofficiallll,"LABEL• @scenarios_ofc
CREATION• @storieslisbon
MGMT• @jonflicksyou
AGENCY• @bullittagency 
Bookings@magaofficial.com
OUT NOW - LEV (Ep) ⬇️",173787524,333,43820,3033,True
67,mattwalshblog,"Host of The Matt Walsh Show on @dailywireplus
Watch What is a Woman at the link below",1422288958,696,1549160,37,True
68,repjeffries,Brooklyn Congressman. Leader @HouseDemocrats. Work hard. Stay focused. Deliver results #ForThePeople.,1733464630,2192,285060,376,True
69,robinvos93,🌐,384989385,490,10535,1771,False
70,briantylercohen,Political commentary. Over 1.5 billion views on YouTube. Host of @NoLieWithBTC podcast. @MSNBC contributor.,179975649,443,210942,578,True
71,cwillcain,Fox and Friends | Will Cain Podcast | I’m your huckleberry.,214655564,596,91791,561,True
72,senschumer,"Official Account of Senator Chuck Schumer, New York’s Senator and the Senate Majority Leader.",325281215,2359,334227,204,True
73,jmartintv,"📺 Award-Winning News Anchor
👽ATL born & raised 
🎓Auburn alum 
💪🏾Health & Wellness Advocate
⭐️Community leader",184446209,173,25847,1470,True
74,reppaultonko,"Engineer. Ice cream lover. Amsterdam native. Member of Congress for NY-20🇺🇸
Scientific Integrity Act: http://bit.ly/TonkoSIAct",1420892691,601,4114,202,True
75,kirstengillibrand,"Mom to Theo, Henry and dog Maple. Wife to Jonathan. U.S. Senator from New York. She/her.",976428693,2217,275414,410,True
76,govabbott,Official Instagram account for the Office of Governor Greg Abbott. Follow his personal account at @governorabbott.,196079765,806,81051,119,True
77,alliancedefendingfreedom,"The world’s largest legal organization advancing the God-given right to live and speak the truth
•15 SCOTUS victories
•80% win rate
•Alliance-building",12641291,1325,58008,308,True
78,repcameronsexton,,54572400,72,347,87,False
79,senchrismurphy,U.S. Senator from Connecticut,10198248159,1471,31469,79,True
80,joaquincastrotx,"Texas Congressman (D-TX20).
Committees: HPSCI, Foreign Affairs
Born, raised, represent San Antonio, Texas.
Host of @diplocable.",378492005,553,31456,579,True
81,ingrahamradio,"The Ingraham Angle, 7p ET @FoxNews",50061753899,255,105156,93,True
82,creightonfortx,"Texas Senator - Christian, Conservative, Businessman, Attorney, Rancher, Sports Fanatic.",5504901957,538,2314,288,True
83,rebuildbydesign,We are promoting and implementing resilience and innovation in the Sandy-affected region.,615612008,51,1240,162,False
84,willb623,,202710890,336,1292,1213,False
85,tony4wi,46th Governor of Wisconsin. Former state schools Superintendent. Official campaign account.,6671485944,481,16490,253,True
86,janetprotasiewicz,,5629120198,42,658,210,False
87,glensturtevant,,144530597,693,1459,3320,False
88,sentuberville,The official Instagram account for U.S. Senator Tommy Tuberville of Alabama. 🇺🇸,45322488705,237,17737,123,True
89,darrinmadisonwi,"Darrin Madison 26 year old Black Man Democratic Socialist 🌹, Representing Wisconsin’s 10th Assembly District. Support Bold Black Leadership!",46009779318,79,585,281,False
90,whoopigoldberg,@whoopi.prosecco,189535300,432,1403638,197,True
91,walgreens,"We see you making strides in your health journey, & we're with you every step of the way. 💪❤️🏃‍♀️
Tag @Walgreens for a chance to be featured.",7602583,1919,364073,112,True
92,nc_gop,"The official account of The North Carolina Republican Party. #NCGOP
State Party Chairman @whatleyncgop
🚨Text NCGOP to 21011🚨",3518786866,612,5119,117,True
93,erinfornnc,"Mom, Military. Spouse, Owner of two small businesses,
Founder/Director of a local nonprofit, State Representative for NC House D37.",4056908710,28,969,5,False
94,fentriceforfl,"Fighting for every Floridian’s freedom to be healthy, prosperous, & safe. Minority Leader @ FL House of Representatives. @flhousedems💙 + ΔΣΘ🔺+ Link 💚",8243433905,829,3722,791,False
95,repstefanik,Official Instagram of U.S. Representative Elise Stefanik Proudly representing New York’s 21st District! 🇺🇸,45066850528,572,36128,244,True
96,washingtonfreebeacon,"Covering the enemies of freedom the way the mainstream media won't 
Morning newsletter sign-up: http://freebeacon.com/newsletter
Featured stories ⤵️",985506013,2222,21567,328,True
97,tuckercarlson,Watch our NEW show on X/Twitter.,4861896569,1384,2410213,48,True
98,repkatcammack,Official account for Congresswoman Kat Cammack | Proudly serving #FL03 in the U.S. House 🇺🇸 | Member of @energyandcommerce & @houseaggop,45230081403,603,29435,175,True
99,pete.buttigieg,"Personal account. For official updates, follow @SecretaryPete. Husband, father, veteran, writer, South Bend’s former Mayor Pete. (he/him)",1909652835,719,1433105,1234,True
100,thetinalambert,"Foster care advocate. And a gym junkie. The Tanner, Ryan, Nook and Rad fan page. 
Uprise Nutrition : TLAMB for 10% off.",229201334,781,1677,999,False
101,santos4_congress,"Political account for Congressman George santos proudly serving #NY03
For official account follow: @rep.georgesantos",260547827,885,120703,1088,False
102,timmoorelive,"| Partner at @SKYNAV.co
| x-@Google, x-@NYTimes",45682346277,265,75654,42,False
103,occupydemocrats,"Official account of Occupy Democrats, the most active and influential political Facebook page and news website in the world! Follow us for more!",311136679,29016,487406,260,True
104,mojoluttrell,"Husband, Father, Texan, Veteran, Patriot.  
Congressional Candidate for TX-08 🇺🇸",12271262506,423,110984,212,False
105,tomcottonar,,495936209,441,86268,24,True
106,sawyerhackett,"Political and communications strategist. Senior Advisor, @juliancastrotx. Twitter: @sawyerhackett",264303280,161,1567,687,False
107,ewerickson,Live nationwide 12pm to 3pm ET every weekday and always online at ewerickson.com.  Text ERICK to 33777 for more info.,951921,10726,31277,1811,True
108,daveghrol,Foo Fighters. Not the real Dave. Fan Account.           ➭davegrohlshop@gmail.com for promotional inquiries,2099787370,143,493713,1,False
109,kayleighmcenany,Co-Host @outnumberedfnc @foxnews. Former White House Press Secretary. Georgetown. Harvard. Oxford. MY BOOK ⬇️,4499606271,1034,2136005,235,True
110,mpalicz,,1549061235,19,244,232,False
111,repboebert,Congresswoman (CO-03) • Co-Chair #2A Caucus • Communications Chair @HouseFreedomCaucus • Member @GOPOversight and @NatResources • 🇺🇸,45218051497,387,403668,129,True
112,senatorortt,"•NYS Senator, SD-62
•@nysenaterepubs Leader
•Former North Tonawanda Mayor
•Combat Veteran
•Voice for the People in Niagara, Orleans & Monroe Counties",39066365500,1098,1088,88,False
113,markobenshain,State Senator SD 26,212240083,444,868,10,False
114,chiproytx,"Husband, father, cancer survivor, #TX21 Congressman from the Great State of Texas. Freedom works.",6680331055,114,30345,81,False
115,pahubb43,"Radio host of On The Real W/Peggy Hubbard. Former Senatorial candidate, former police officer, retire IRS, NRA, Harley rider, speaks the TRUTH",4059763580,11,3074,11,False
116,aoc,"Congresswoman for NY-14: Bronx and Queens🇺🇸 100% grassroots.
Personal account. For on-the-job Congressional updates, visit @repaoc",20769740,612,8499232,2802,True
117,jimjordanoh04,Congressman for OH-04 #DoWhatYouSaid 🇺🇸,50425248673,80,178774,63,True
118,l.louiselucas,,4538900624,32,1871,228,False
119,reprichhudson,Official Account of Congressman Richard Hudson (NC-09),285014446,482,7287,301,True
120,publicinterestlawcenter,"Using high-impact legal strategies to advance civil, social and economic rights.",3315588759,177,1542,293,False
121,glennyoungkin,"Former dishwasher, 🏀 player & businessman. Governor of Virginia, working to make the Commonwealth the best place to live, work & raise a family.",38418198589,1485,92965,208,True
122,nycmayor,"Delivering a fairer, safer, and brighter future for Every New Yorker. Official account of the 110th Mayor of NYC.",294471017,3902,1111715,62,True
123,repbrianfitz,"An independent voice for the people of #PA01. 
Former FBI Special Agent & Federal Prosecutor. 
EMT, CPA & Philly sports fan. #GoBirds",4356922028,706,12421,140,True
124,flgovrondesantis,"Official Account for Florida Governor Ron DeSantis 
Husband
Father
Veteran
Baseball and Golf Enthusiast",28088292716,1171,1604206,1,True
125,lindsaycrossfl,"Representative FL House D60, St Pete, PinPark, Lealman. 
Environmental scientist. 
Health & wellness professional. 
Dog mamma 💙
Www.LindsayCrossFL.com",8604753020,1455,1621,647,False
126,seanhannity,TV Host on @FoxNews Channel at 9 PM ET. Nationally Syndicated Radio Host 3-6 PM ET.,647399372,5213,1796915,45,True
127,johnrichofficial,“The Country Truth” Out Now! 1/2 of @bigandrichofficial and Founder of all things @realredneckriviera #DrinkAmerican,1066704182,868,125879,147,True
128,repscottperry,I represent the people of Pennsylvania's 10th Congressional District in the U.S. House of Representatives.,519463466,770,6727,717,True
129,roberttmalone__,"Omaha, NE",194302266,14,1362,3790,False
130,newsmax,"Real News for Real People 
Watch NEWSMAX, an independent news network with a conservative perspective, available in 100M U.S. homes: http://nws.mx/tv",1234899211,8526,1810733,252,True
131,reptiffany,Official Account for Representative Tom Tiffany | Proudly serving Northern and Western Wisconsin #WI07,36604039247,408,18896,299,True
132,officiallizwheeler,Host of The Liz Wheeler Show. Subscribe for new episodes five times each week!,2380493610,2115,276075,561,True
133,aar0n_rouse,"🅶🅾︎🅳.🅵🅰︎🅼🅸🅻🆈.🅵🆁🅸🅴🅽🅳🆂
VIRGINIA STATE SENATOR (D22)
🏛(former)𝒱𝒾𝓇ℊ𝒾𝓃𝒾𝒶 ℬℯ𝒶𝒸𝒽 𝒞ℴ𝓊𝓃𝒸𝒾𝓁𝓂𝒶𝓃
🦃𝕍𝕚𝕣𝕘𝕚𝕟𝕚𝕒 𝕋𝕖𝕔𝕙 𝔸𝕝𝕦𝕞𝕟𝕦𝕤 🎓𝒮ℴ𝒸𝒾ℴ𝓁ℴℊ𝒾𝓈𝓉
🏈𝐍𝐅𝐋 𝐑𝐞𝐭𝐢𝐫𝐞𝐝 (#𝘎𝘉𝘗 #𝘕𝘠𝘎 #𝘈𝘊)",1224621408,428,9061,466,True
134,karenbassla,Mayor of LA. This account is being used for campaign purposes by Karen Bass for Mayor 2022. #KarenBassforMayor,43789626740,549,46074,209,True
135,karilake,Follower of Christ. Wife to Jeff. Mother to Ruby & Leo. A Nightmare for the Fake News. Candidate for U.S. Senate in Arizona. #AmericaFirst,186963810,5834,741050,1235,True
136,spacex,"SpaceX designs, manufactures and launches the world's most advanced rockets and spacecraft",20311520,600,16844278,3,True
137,ritaforflorida,Representative for Florida State House District 44,34165000362,1455,1370,574,False
138,reprokhanna,"Silicon Valley's #CA17. 
Creating #jobs & tax credits for working class. 
Ending endless wars. 
No PAC $. 
Probably drinking #coffee. 
he/him",4404289681,614,37902,615,True
139,senatorbaldwin,"Official Instagram account of United States Senator Tammy Baldwin, proudly working for the State of Wisconsin.",461450533,800,22101,133,True
140,k_jeanpierre,,41448266,1463,258703,2643,True
141,repkevinbrady,"Dad. Husband. Former Chairman, House Ways & Means Committee. Loves: Baseball, Texas & Tax Reform.",337613850,892,11463,243,True
142,repbryansteil,"Official Instagram account for Bryan Steil, proudly serving the people of Wisconsin’s 1st Congressional District. #WI01",10110276836,677,4227,230,True
143,kloefflerga,"Proud American, entrepreneur, conservative leader, philanthropist. Chair @GreaterGa. Board @officialpublicsq. Fmr U.S. Senator, GA (R). Romans 12:21",25613370023,703,28414,170,True
144,repgosar,Proudly serving the people of Arizona's 9th Congressional District.,1423290390,1140,21637,694,True
145,jedediah_johnson,"Lover. Artist. Body positive. (Not really a lover.)
Studio @ 1125 E Brookside Ave
Indianapolis, Indiana",1132077,2128,5928,4036,False
146,cliff.hayes,"Creating the 🌍 in my own image
ASPIRE to INSPIRE before you EXPIRE
NY🛩 LA
Licensed Cannabis Retailer/Investor/Alchemist
#333",4269293,0,1176,2110,False
147,raphaelwarnock,Pastor. Advocate. Savannah born & raised. @morehouse1867 alum. Senator from Georgia.,27998896989,947,362792,313,True
148,sunny,"Co-host, The View. 3x Emmy winning legal journalist. 2x NYT bestselling Author. Mama to Gabriel & Paloma. Wife to Manny. AKA",176498539,1330,304706,2183,True
149,realmarkfinchem,"The guy who stood up when nobody else would and asked the question publicly, what happened?",48504612549,32,4353,100,False
150,julie_gunnigle,In your face about the abuses of our criminal legal system. 🥔 fan.,44992778,250,3132,802,False
151,everytown,"We are a movement of parents, students, survivors, educators, gun owners & concerned citizens fighting to end gun violence & build safer communities.",1074306396,3069,1127183,1091,True
152,americafirstlegal,"America First Legal (AFL) is a national, nonprofit organization that works to promote the rule of law in the United States.",51780626399,309,3751,15,False
153,liquiddeath,"Don’t be scared. It’s just water & iced tea.
#MurderYourThirst #DeathToPlastic ⁣♻️",6231587801,832,2636427,1744,True
154,valdemings,Lifelong Floridian. Former Orlando Police Chief and Congresswoman. Wife. Mom. Nana.,3300698947,747,59034,46,True
155,ahinsontv,"4, 5 & 10pm News Anchor on NBC @wbaltv11  
Baltimore, MD
Saved by grace.
Coffee ☕️ tacos 🌮& cab 🍷...not together.",185870440,548,10573,1636,True
156,jevinhodge,Non-profit President | Business & Community Leader | 2022 Dem Nominee #AZ01 | Proud Arizonan | Never Finished Fighting for our Values,524411463,814,4336,3086,True
157,yestoyesli,"Military Wife, Mother, Law Enforcement Officer, PW County Supervisor, Chair of Latinos for @GlennYoungkin, and Candidate for U.S. Congress (#VA07)",9303472297,585,6289,301,False
158,michelsforgov,"Builder. Veteran. Outsider.
Tim Michels is a conservative outsider running for governor to get Wisconsin back on the right track.
Join the team!",52757785313,527,2209,28,True
159,adamlaxalt,"Husband, Father of 4, 4th Gen Nevadan & Navy & Iraq Vet. Fmr. Attorney General of NV, Georgetown U and Law, Partner at Cooper & Kirk",971795984,1426,8583,348,True
160,timryanofficial,"@newyorkmodels  NYC
@wilhelmina.miami  MIA
@heffnermanagement SEA 
@selectmodelglobal LA/CHI 
@directionsusa NC 
@mgm.models 🇩🇪 
@innovativeartists 🎥",27399592,1172,29591,3648,True
161,georgiagunowners,Georgia's LARGEST and MOST POWERFUL gun rights organization!,2117765176,436,7766,4,False
162,krismayes,"27th Attorney General of 🌵Arizona🌵. Follow @azagmayes official acct.
Mom, attorney, professor, former Corporation Commissioner. 
#LawyerForThePeople",3130370275,191,1961,271,False
163,levarstoney,80th Mayor of @rvagov • Secretary of the Commonwealth (2014-2016) • Building One Richmond #1RVA • #JMU alumnus • #nyjets fan,194714614,923,16035,1228,True
164,flimmigrant,On the continuous fight for a pathway to citizenship for millions of immigrants.,338129901,2252,10290,1335,False
165,amyklobuchar,U.S. Senator from Minnesota.,3544549933,3351,497106,402,True
166,replizcheney,"Official page of Congresswoman Liz Cheney, proudly representing the people of Wyoming.",16812961048,471,86811,243,True
167,senatorhassan,"New England sports fan, mom, crossword enthusiast, former governor, U.S. Senator for New Hampshire.",8440370241,764,9268,79,True
168,deidredejear,Voter. Wife. Foodie. Iowan. Small business owner.,254693352,640,6836,627,True
169,kimreynoldsia,,53789183,736,22677,221,True
170,senatorvance,The official account of U.S. Senator JD Vance,59132099958,81,3767,54,True
171,tomchorne,"Snapshots 👀
Co-founder @lestrangelondon
Focusing on the important things
#WithLessDoMore",26312087,80,1986,1655,False
172,charliecrist,"Former Governor, Congressman, and proud FSU alum. Running for Governor to build a Florida for all. Text CHARLIE to 54238 📱",625253190,1707,16622,300,True
173,senmarkkelly,"United States Senator for Arizona. Father, husband, Navy combat veteran, and retired NASA astronaut.",44578876004,442,22317,1,True
174,clubforgrowthaction,"Dedicated to a single mission: electing more pro-growth, fiscal conservatives to the House and Senate.",44797873541,94,4111,48,True
175,wvdemocrats,The official Instagram of the WV Democratic Party.,14114164981,298,1925,115,False
176,cortezmasto,U.S. Senator from Nevada. Former Attorney General. Fighter for NV's families. Running for reelection to protect #NVSen in 2022 & defend our majority.,2923749277,340,12162,121,True
177,dbongino,Public Enemy #1,262298730,4028,2242780,289,True
178,marcorubio,The (not government) account of Marco Rubio,180329950,1571,987420,330,True
179,sentedbudd,Official Instagram account for North Carolina U.S. Senator Ted Budd.,8303785637,485,9749,352,True
180,cheribeasleync,"Wife, mom, @akasorority1908 sister. Made history as 1st African American woman to serve as Chief Justice. Proud Dem running for US Senate in NC.",6815396932,481,12739,226,True
181,bgmasters,running for Congress in AZ08 🌵🇺🇸,3585242,336,27222,1212,True
182,replesko,Proudly representing Arizona’s 8th District in Congress. #AZ08,8602175985,957,8895,242,True
183,azdemparty,The official account of the Arizona Democratic Party.,2252624612,476,7114,242,True
184,the_nrcc,National Republican Congressional Committee • Dedicated to defending our conservative majority! Text “WIN” to 21818📲,2038759010,424,4636,162,True
185,nickmyers87,👋🏻 He/Him,17313055,1066,965,1507,False
186,clubforgrowth,"Club for Growth is a national network of thousands of pro-growth Americans, who believe that prosperity & opportunity come through economic freedom",21894084628,298,1745,124,True
187,katie4az,"Social worker, mom, wife, Arizona’s 24th Governor.",52159397238,379,18955,171,True
188,bohinesnc,"Candidate for the U.S. House of Representatives from North Carolina's 6th Congressional District. America first, always.",4630857634,258,391045,208,True
189,newtgingrich,"Husband, Father, Grandfather, Citizen, Small Businessman, Author, Former Speaker of the House • Author of March to the Majority",17274870,1409,276285,163,True
190,repzachnunn,Representative Zach Nunn is currently serving Iowa's Third Congressional District.,57602893458,757,1171,72,True
191,emilys_list,"At EMILYs List, we elect the women who Run. Win. Change the World. Text JOIN to 47717 to join us.",205021110,3114,145902,530,False
192,restoration_pac,ROA is dedicated to strengthening the foundations that made America the greatest nation in the world.,2667922261,1340,6443,348,True
193,yuhline_niou,Samson’s mom,4644704803,359,8238,2331,True
194,adrianfontess,"+ 1M 🌽 em redes sociais 
💍@jeessicafontes
Aracaju/SE",366748046,522,41202,192,False
195,lgmandelabarnes,Lieutenant Governor of the State of Wisconsin,10667073884,426,7128,84,True
196,grassroots4elaine,"""Be good. Do good work."" 🧜‍♀️
Grassroots account for Rep. Elaine Luria in Virginia's 2nd District.
#TeamElaine #VA02",39505736939,16,707,4,False
197,leezeldin,"Dad, Husband, Vet, Former NY Rep. & Gov Candidate, Chair Leadership America Needs PAC & Zeldin Cares",372948353,2069,66233,1366,True
198,liberalcluboficial,,8436966773,1335,7258,3283,False
199,housemajoritypac,Working to defend and expand the Democratic House majority by investing in races from coast to coast.,61224437780,0,52,5,False
200,kahoffman66,I AM ENOUGH🌺Daughter of God🌴LDS🌴photographer📸crafter ✂️scrapper✂️smash journal📕homeschool📚Creative Memories Advisor📆iPhone XR📲Canon Rebel T5i📸,805532075,958,18503,758,False
201,repspanberger,Proudly serving #VA07 in the U.S. House. Former CIA officer. Former federal law enforcement officer. Mom of 3. Follow me on Twitter @repspanberger.,10159984641,872,18700,437,True
202,elizabethwarren,"US Senator, MA. Fmr teacher & law professor. Wife, mom (Amelia, Alex, Bailey, CFPB), grandmother & Okie. Official campaign account.",175831102,2436,2890545,86,True
203,hillaryclinton,"Doting grandmother, among other things.",1834271085,1845,6195908,218,True
204,gopgovs,,187871201,461,10247,114,True
205,russian_kremlin,"Владимир Путин Президент России
🇷🇺",1685582500,5010,541095,0,False
206,catholicvote,"Join us and millions of Catholics to win the fight for faith, family, and freedom in America.",144028438,3108,94662,405,False
207,actionnetwork,,1458039374,2,46,0,False
208,senjoniernst,"Mother and combat veteran, fighting for a more accountable and less wasteful Washington 🇺🇸 
U.S. Senator serving the people of Iowa. 🌾🐖",1582702853,1258,26869,72,True
209,pitbull,Mr. Worldwide. Musician. Entertainer. Education Ambassador. Entrepreneur.,232178655,2468,10498222,373,True
210,floridagop,Facebook.com/FloridaGOP • Twitter.com/FloridaGOP,260055311,1038,27075,6193,True
